stu_id,strat_id,psu,bystuwt,byses1,bytxmstd,bytxrstd,f2ps1lvl,first_pei,byses1_decile_wtd,byses1_percentile,bytxmstd_quintile_wtd,bytxmstd_quintile,bytxrstd_quintile_wtd,bytxrstd_quintile,first_pei_4yr
317103,317,"PSU 1",261.7309,-1.59,45.47,41.05,"At least 2, but less than 4 years","2-years",1,1,2,2,1,1,0
137229,137,"PSU 2",22.8027,-1.53,44.22,46.72,.c,"no college",1,1,2,2,2,2,0
208201,208,"PSU 2",151.5929,-1.03,50.89,39.08,"Four or more years","4-years or more",1,1,3,3,1,1,1
455210,455,"PSU 2",139.8417,-1.23,45.35,53.5,.c,"no college",1,1,2,2,4,4,0
327221,327,"PSU 2",379.8763,-1.21,52.8,53.87,.c,"no college",1,1,3,3,4,4,0
236209,236,"PSU 2",138.8193,-1.44,21.56,28.11,.c,"no college",1,1,1,1,1,1,0
173209,173,"PSU 2",304.6879,-1.05,37.09,49.31,.c,"no college",1,1,1,1,3,3,0
255101,255,"PSU 1",404.1297,-1.24,53.09,58.43,"Four or more years","4-years or more",1,1,4,3,4,4,1
282102,282,"PSU 1",421.429,-.99,27.5,29.96,.c,"no college",1,1,1,1,1,1,0
325209,325,"PSU 2",263.8414,-1.25,48.55,53.37,.d,.d,1,1,3,3,4,4,.d
136122,136,"PSU 1",86.8735,-1.34,42.86,49.31,"At least 2, but less than 4 years","2-years",1,1,2,2,3,3,0
338206,338,"PSU 2",554.5034,-.95,42.34,29.71,.c,"no college",1,1,2,2,1,1,0
231220,231,"PSU 2",285.6537,-1.33,46.79,48.94,"At least 2, but less than 4 years","2-years",1,1,2,2,3,3,0
268215,268,"PSU 2",84.7753,-1.19,46.94,40.56,"Four or more years","4-years or more",1,1,2,2,1,1,1
361123,361,"PSU 1",251.6476,-1.54,37.72,36.86,.c,"no college",1,1,1,1,1,1,0
226203,226,"PSU 2",254.2244,-.96,41.04,47.33,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
129217,129,"PSU 2",174.1005,-1.23,29.14,46.84,.c,"no college",1,1,1,1,2,2,0
281202,281,"PSU 2",88.3067,-1.03,33.7,28.85,.c,"no college",1,1,1,1,1,1,0
294111,294,"PSU 1",585.4863,-1.17,23.93,41.3,.c,"no college",1,1,1,1,2,1,0
334201,334,"PSU 2",78.6746,-1.34,48.18,33.16,"At least 2, but less than 4 years","2-years",1,1,3,2,1,1,0
327224,327,"PSU 2",379.8763,-1.14,61.42,51.4,.c,"no college",1,1,5,5,3,3,0
450110,450,"PSU 1",74.0593,-1.15,51.72,35.87,.d,.d,1,1,3,3,1,1,.d
261204,261,"PSU 2",461.5197,-.99,42.52,38.46,.c,"no college",1,1,2,2,1,1,0
235117,235,"PSU 1",252.6215,-1.07,30.75,39.82,.c,"no college",1,1,1,1,1,1,0
336202,336,"PSU 2",169.3913,-1.01,44.36,41.17,.c,"no college",1,1,2,2,1,1,0
169214,169,"PSU 2",238.6086,-1.02,41.83,49.92,.c,"no college",1,1,2,1,3,3,0
355212,355,"PSU 2",27.1451,-1.32,39.11,44.38,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
337108,337,"PSU 1",344.6519,-1.02,33,35.14,"At least 2, but less than 4 years","2-years",1,1,1,1,1,1,0
118209,118,"PSU 2",272.834,-1.26,37.72,41.17,.c,"no college",1,1,1,1,1,1,0
339103,339,"PSU 1",103.7154,-1.6,71.31,58.18,"Four or more years","4-years or more",1,1,5,5,4,4,1
268221,268,"PSU 2",84.7753,-1.55,55.09,41.3,"At least 2, but less than 4 years","2-years",1,1,4,4,2,1,0
174120,174,"PSU 1",281.9613,-1.18,52.33,70.62,"At least 2, but less than 4 years","2-years",1,1,3,3,5,5,0
281221,281,"PSU 2",93.5216,-1.83,31.38,32.92,.c,"no college",1,1,1,1,1,1,0
371209,371,"PSU 2",145.794,-1.49,44.86,47.7,.d,.d,1,1,2,2,3,2,.d
249118,249,"PSU 1",208.6317,-1.53,45.98,55.34,"Four or more years","4-years or more",1,1,2,2,4,4,1
245211,245,"PSU 2",359.7134,-1.34,34.26,30.33,.c,"no college",1,1,1,1,1,1,0
113213,113,"PSU 2",21.0294,-1.02,62.96,55.59,"Four or more years","4-years or more",1,1,5,5,4,4,1
247113,247,"PSU 1",439.6075,-1.1,41.93,40.43,.d,.d,1,1,2,1,1,1,.d
275218,275,"PSU 2",442.3692,-1.54,40.07,42.9,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
123106,123,"PSU 1",70.9012,-1.62,49.19,37.35,"At least 2, but less than 4 years","2-years",1,1,3,3,1,1,0
366120,366,"PSU 1",171.6274,-1.1,34.94,34.4,.c,"no college",1,1,1,1,1,1,0
247307,247,"PSU 3",142.2589,-1.52,33.93,35.38,.d,.d,1,1,1,1,1,1,.d
377319,377,"PSU 3",90.6766,-1.09,27.58,35.26,.c,"no college",1,1,1,1,1,1,0
307209,307,"PSU 2",51.9532,-1.21,61.29,55.59,"At least 2, but less than 4 years","2-years",1,1,5,5,4,4,0
184106,184,"PSU 1",518.0497,-1.33,47.76,47.7,"At least 2, but less than 4 years","2-years",1,1,3,2,3,2,0
218202,218,"PSU 2",188.9014,-1.16,34.68,34.27,.c,"no college",1,1,1,1,1,1,0
327218,327,"PSU 2",379.8763,-1.5,52.02,39.45,.c,"no college",1,1,3,3,1,1,0
217122,217,"PSU 1",237.4063,-1.6,35.89,32.55,.c,"no college",1,1,1,1,1,1,0
247116,247,"PSU 1",174.3451,-1.75,57.08,57.93,"Four or more years","4-years or more",1,1,4,4,4,4,1
304101,304,"PSU 1",93.5004,-.96,63.49,61.26,"Four or more years","4-years or more",1,1,5,5,5,5,1
280103,280,"PSU 1",76.2307,-1.12,57,49.55,.c,"no college",1,1,4,4,3,3,0
358102,358,"PSU 1",282.2102,-1.32,46.14,42.28,"At least 2, but less than 4 years","2-years",1,1,2,2,2,2,0
254219,254,"PSU 2",335.1407,-1.09,32.96,42.65,"Less than 2-years","less than 2-years",1,1,1,1,2,2,0
293225,293,"PSU 2",119.3385,-1.23,69.17,54.85,"Four or more years","4-years or more",1,1,5,5,4,4,1
379213,379,"PSU 2",516.3956,-1.17,38.87,42.04,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
370121,370,"PSU 1",288.8174,-1.26,45.59,36.61,.c,"no college",1,1,2,2,1,1,0
355123,355,"PSU 1",449.3865,-1.07,44.35,43.88,"At least 2, but less than 4 years","2-years",1,1,2,2,2,2,0
328112,328,"PSU 1",112.3995,-1.16,44.28,46.23,.c,"no college",1,1,2,2,2,2,0
129230,129,"PSU 2",174.1005,-1.27,33.75,45.12,.c,"no college",1,1,1,1,2,2,0
324222,324,"PSU 2",172.8246,-1.09,53.31,42.9,.c,"no college",1,1,4,3,2,2,0
103314,103,"PSU 3",60.2587,-1.42,55.95,55.96,"Four or more years","4-years or more",1,1,4,4,4,4,1
198204,198,"PSU 2",266.8036,-.98,27.84,31.68,.c,"no college",1,1,1,1,1,1,0
264219,264,"PSU 2",260.6745,-1.16,39.68,47.09,.c,"no college",1,1,1,1,2,2,0
250201,250,"PSU 2",77.83,-1.18,40.05,39.32,.d,.d,1,1,1,1,1,1,.d
201204,201,"PSU 2",202.3398,-1.41,56.48,46.1,.h,.h,1,1,4,4,2,2,.h
268302,268,"PSU 3",222.2562,-.97,40.71,48.81,"At least 2, but less than 4 years","2-years",1,1,1,1,3,3,0
191204,191,"PSU 2",223.2241,-1.16,49.95,48.2,.c,"no college",1,1,3,3,3,3,0
153206,153,"PSU 2",164.2112,-1.5,46.26,49.92,.d,.d,1,1,2,2,3,3,.d
311213,311,"PSU 2",269.7355,-1.01,48.1,40.19,"At least 2, but less than 4 years","2-years",1,1,3,2,1,1,0
368128,368,"PSU 1",265.6014,-1.21,43.61,39.08,"Four or more years","4-years or more",1,1,2,2,1,1,1
337212,337,"PSU 2",227.5235,-.99,49.69,53.99,.c,"no college",1,1,3,3,4,4,0
183101,183,"PSU 1",255.5027,-1.51,38.96,47.33,.c,"no college",1,1,1,1,2,2,0
332108,332,"PSU 1",266.7062,-1.19,50.34,50.05,.h,.h,1,1,3,3,3,3,.h
256103,256,"PSU 1",140.005,-1.01,46.03,48.2,"At least 2, but less than 4 years","2-years",1,1,2,2,3,3,0
283218,283,"PSU 2",58.9894,-1.2,62.99,65.08,"Four or more years","4-years or more",1,1,5,5,5,5,1
461202,461,"PSU 2",19.5954,-1.53,43.87,41.91,.c,"no college",1,1,2,2,2,2,0
219225,219,"PSU 2",142.3246,-1.39,33.33,24.91,.c,"no college",1,1,1,1,1,1,0
235118,235,"PSU 1",252.6215,-1.34,31.99,47.21,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
286225,286,"PSU 2",175.6095,-1.09,55.08,36.98,"Less than 2-years","less than 2-years",1,1,4,4,1,1,0
286105,286,"PSU 1",65.8571,-1.18,36.68,39.82,.d,.d,1,1,1,1,1,1,.d
138107,138,"PSU 1",162.4716,-.95,44.82,47.46,"At least 2, but less than 4 years","2-years",1,1,2,2,2,2,0
175211,175,"PSU 2",197.5253,-1.1,35.35,30.21,.c,"no college",1,1,1,1,1,1,0
137234,137,"PSU 2",23.3052,-1.09,47.14,44.75,.c,"no college",1,1,2,2,2,2,0
137209,137,"PSU 2",22.8027,-1.33,37.87,44.38,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
256322,256,"PSU 3",513.5762,-1.17,49.25,46.47,"At least 2, but less than 4 years","2-years",1,1,3,3,2,2,0
113226,113,"PSU 2",159.6846,-1.12,36.43,41.05,.c,"no college",1,1,1,1,1,1,0
162221,162,"PSU 2",161.8451,-.96,34.01,31.81,.d,.d,1,1,1,1,1,1,.d
286110,286,"PSU 1",65.8571,-1.83,52.67,39.94,"Four or more years","4-years or more",1,1,3,3,1,1,1
266210,266,"PSU 2",158.442,-1.37,48.55,60.64,.c,"no college",1,1,3,3,5,5,0
288204,288,"PSU 2",38.4498,-1.32,37.62,39.45,"At least 2, but less than 4 years","2-years",1,1,1,1,1,1,0
269217,269,"PSU 2",12.5285,-1.37,40.96,36.98,.c,"no college",1,1,1,1,1,1,0
373232,373,"PSU 2",136.3351,-1.03,48.12,40.68,"Four or more years","4-years or more",1,1,3,2,1,1,1
180201,180,"PSU 2",146.1226,-.97,37.2,36.12,.c,"no college",1,1,1,1,1,1,0
369112,369,"PSU 1",260.9693,-1.53,31.97,35.26,"Four or more years","4-years or more",1,1,1,1,1,1,1
181213,181,"PSU 2",228.5102,-1.09,36.33,45.12,.c,"no college",1,1,1,1,2,2,0
135225,135,"PSU 2",227.5525,-1.41,31.28,23.67,.c,"no college",1,1,1,1,1,1,0
327206,327,"PSU 2",370.1297,-1.26,36.31,44.13,.c,"no college",1,1,1,1,2,2,0
158230,158,"PSU 2",210.1976,-1.29,53.79,51.15,"Four or more years","4-years or more",1,1,4,4,3,3,1
185120,185,"PSU 1",276.5871,-1.02,37.24,33.41,.c,"no college",1,1,1,1,1,1,0
436232,436,"PSU 2",27.4499,-1.02,48.12,52.88,.d,.d,1,1,3,2,3,3,.d
183211,183,"PSU 2",235.7336,-1.39,46.24,29.22,.d,.d,1,1,2,2,1,1,.d
341219,341,"PSU 2",186.0835,-1.42,53.54,29.84,"At least 2, but less than 4 years","2-years",1,1,4,4,1,1,0
187113,187,"PSU 1",180.9696,-1.32,50.53,57.19,.c,"no college",1,1,3,3,4,4,0
119202,119,"PSU 2",110.47,-1.01,56.22,30.45,"At least 2, but less than 4 years","2-years",1,1,4,4,1,1,0
231206,231,"PSU 2",285.6537,-1.1,43.77,36,.c,"no college",1,1,2,2,1,1,0
245120,245,"PSU 1",122.3843,-1.31,50.97,47.33,"Four or more years","4-years or more",1,1,3,3,2,2,1
289209,289,"PSU 2",41.5471,-1.66,48.53,40.06,"Four or more years","4-years or more",1,1,3,3,1,1,1
232211,232,"PSU 2",305.4801,-1.17,48.04,43.14,.d,.d,1,1,3,2,2,2,.d
313211,313,"PSU 2",329.6995,-1.16,45.35,42.78,"Four or more years","4-years or more",1,1,2,2,2,2,1
169223,169,"PSU 2",238.6086,-1.11,37.98,40.31,.c,"no college",1,1,1,1,1,1,0
152103,152,"PSU 1",264.7105,-1.13,31.46,27.86,.d,.d,1,1,1,1,1,1,.d
204230,204,"PSU 2",96.1813,-1.46,28.6,29.71,.d,.d,1,1,1,1,1,1,.d
241301,241,"PSU 3",188.8815,-1.07,40.44,44.25,.d,.d,1,1,1,1,2,2,.d
217114,217,"PSU 1",274.2212,-1.41,54.2,58.55,"Four or more years","4-years or more",1,1,4,4,4,4,1
364222,364,"PSU 2",209.7598,-1.54,26.38,36,.d,.d,1,1,1,1,1,1,.d
162205,162,"PSU 2",167.0972,-1.44,32.61,38.22,.c,"no college",1,1,1,1,1,1,0
229103,229,"PSU 1",271.6359,-1.36,23.96,39.08,.c,"no college",1,1,1,1,1,1,0
367225,367,"PSU 2",230.1106,-1.16,45.33,48.2,"At least 2, but less than 4 years","2-years",1,1,2,2,3,3,0
352222,352,"PSU 2",189.5528,-1.27,39.47,30.82,.d,.d,1,1,1,1,1,1,.d
200127,200,"PSU 1",64.543,-.96,59.9,48.57,"Four or more years","4-years or more",1,1,5,5,3,3,1
271110,271,"PSU 1",34.5169,-1.54,45.1,49.31,.c,"no college",1,1,2,2,3,3,0
239209,239,"PSU 2",210.1299,-1.7,39.87,39.45,"At least 2, but less than 4 years","2-years",1,1,1,1,1,1,0
225204,225,"PSU 2",196.9749,-1.03,26.15,44.38,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
132211,132,"PSU 2",175.7966,-1.02,38.83,42.53,"Four or more years","4-years or more",1,1,1,1,2,2,1
303113,303,"PSU 1",315.5418,-1.39,41.19,49.06,"At least 2, but less than 4 years","2-years",1,1,1,1,3,3,0
301208,301,"PSU 2",285.1214,-1.35,41.18,32.18,.c,"no college",1,1,1,1,1,1,0
294225,294,"PSU 2",27.8527,-.99,46.64,28.48,.d,.d,1,1,2,2,1,1,.d
295121,295,"PSU 1",353.1282,-1.03,46.48,58.79,"At least 2, but less than 4 years","2-years",1,1,2,2,5,4,0
182211,182,"PSU 2",193.1894,-1.16,48,49.31,"Four or more years","4-years or more",1,1,3,2,3,3,1
358118,358,"PSU 1",284.6222,-.95,40.6,50.29,"At least 2, but less than 4 years","2-years",1,1,1,1,3,3,0
287222,287,"PSU 2",277.8081,-1.05,59.75,39.82,"At least 2, but less than 4 years","2-years",1,1,5,5,1,1,0
247329,247,"PSU 3",94.5711,-1.32,41.12,38.46,.c,"no college",1,1,1,1,1,1,0
134113,134,"PSU 1",271.4724,-1.34,40.25,37.72,"At least 2, but less than 4 years","2-years",1,1,1,1,1,1,0
248204,248,"PSU 2",206.8167,-1.04,37.59,33.16,.c,"no college",1,1,1,1,1,1,0
180229,180,"PSU 2",146.1226,-1.01,33.9,38.34,.c,"no college",1,1,1,1,1,1,0
381202,381,"PSU 2",195.6584,-1.51,30.59,40.43,.c,"no college",1,1,1,1,1,1,0
261223,261,"PSU 2",461.5197,-1.25,40.52,34.15,.d,.d,1,1,1,1,1,1,.d
367224,367,"PSU 2",230.1106,-1.05,43.8,43.76,.c,"no college",1,1,2,2,2,2,0
268107,268,"PSU 1",121.8636,-.96,70.45,71.12,"Four or more years","4-years or more",1,1,5,5,5,5,1
208116,208,"PSU 1",191.3244,-1.17,42.83,45.49,.d,.d,1,1,2,2,2,2,.d
278207,278,"PSU 2",53.1222,-1.35,55.68,60.77,"Four or more years","4-years or more",1,1,4,4,5,5,1
159214,159,"PSU 2",222.5954,-1.02,50.19,65.82,"At least 2, but less than 4 years","2-years",1,1,3,3,5,5,0
403102,403,"PSU 1",124.3152,-1.11,44.21,54.85,"Four or more years","4-years or more",1,1,2,2,4,4,1
284107,284,"PSU 1",237.5801,-1.18,52.18,48.44,.c,"no college",1,1,3,3,3,3,0
127202,127,"PSU 2",321.2755,-1.01,51.93,44.13,.d,.d,1,1,3,3,2,2,.d
132219,132,"PSU 2",217.2161,-1.26,29,30.33,.c,"no college",1,1,1,1,1,1,0
297134,297,"PSU 1",58.636,-.98,57.22,54.36,"Four or more years","4-years or more",1,1,4,4,4,4,1
349207,349,"PSU 2",174.975,-1.19,35.1,34.89,.c,"no college",1,1,1,1,1,1,0
369233,369,"PSU 2",473.549,-1.02,52.49,40.56,.c,"no college",1,1,3,3,1,1,0
364109,364,"PSU 1",221.3216,-1.44,37.08,37.85,.c,"no college",1,1,1,1,1,1,0
314105,314,"PSU 1",145.07,-1.14,46,47.46,.d,.d,1,1,2,2,2,2,.d
121233,121,"PSU 2",178.0941,-1.13,40.27,27.74,.c,"no college",1,1,1,1,1,1,0
142211,142,"PSU 2",201.44,-1.04,48.01,42.41,.c,"no college",1,1,3,2,2,2,0
172120,172,"PSU 1",250.5321,-1.34,46.88,54.97,"At least 2, but less than 4 years","2-years",1,1,2,2,4,4,0
324114,324,"PSU 1",174.4607,-1.03,46.28,46.96,.c,"no college",1,1,2,2,2,2,0
368129,368,"PSU 1",258.2394,-1.85,43.66,50.05,.c,"no college",1,1,2,2,3,3,0
195204,195,"PSU 2",152.6247,-1.41,45.83,43.02,"At least 2, but less than 4 years","2-years",1,1,2,2,2,2,0
236125,236,"PSU 1",340.6493,-1.1,44.03,48.32,.d,.d,1,1,2,2,3,3,.d
339101,339,"PSU 1",400.8389,-1.54,46.92,35.63,.c,"no college",1,1,2,2,1,1,0
274121,274,"PSU 1",69.6431,-1.03,41.29,39.94,"At least 2, but less than 4 years","2-years",1,1,1,1,1,1,0
201203,201,"PSU 2",219.7577,-1.02,45.57,44.75,"At least 2, but less than 4 years","2-years",1,1,2,2,2,2,0
131119,131,"PSU 1",336.0121,-1.03,38.4,31.44,.c,"no college",1,1,1,1,1,1,0
321205,321,"PSU 2",492.828,-.95,42.06,50.79,.c,"no college",1,1,2,1,3,3,0
193221,193,"PSU 2",185.4497,-1.33,31.25,29.59,.c,"no college",1,1,1,1,1,1,0
234222,234,"PSU 2",171.3291,-1.03,51.2,35.14,.c,"no college",1,1,3,3,1,1,0
323201,323,"PSU 2",181.1781,-1.62,45.12,43.88,"Four or more years","4-years or more",1,1,2,2,2,2,1
130208,130,"PSU 2",577.2876,-1.15,32.72,35.75,.d,.d,1,1,1,1,1,1,.d
371126,371,"PSU 1",102.0022,-1.17,60.3,52.76,"Four or more years","4-years or more",1,1,5,5,3,3,1
213218,213,"PSU 2",220.5392,-1.27,51.46,42.53,"Four or more years","4-years or more",1,1,3,3,2,2,1
296220,296,"PSU 2",461.6889,-1.24,59.47,51.03,"At least 2, but less than 4 years","2-years",1,1,5,5,3,3,0
279122,279,"PSU 1",124.1339,-1.03,43.84,35.75,.d,.d,1,1,2,2,1,1,.d
288113,288,"PSU 1",300.5453,-1.12,37.28,35.38,.c,"no college",1,1,1,1,1,1,0
298107,298,"PSU 1",293.175,-1.04,38.55,45.12,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
352314,352,"PSU 3",336.4743,-1.04,51.85,58.55,.c,"no college",1,1,3,3,4,4,0
315223,315,"PSU 2",222.7755,-1.06,46.78,41.67,.c,"no college",1,1,2,2,2,1,0
285220,285,"PSU 2",123.203,-.99,45.45,38.83,"At least 2, but less than 4 years","2-years",1,1,2,2,1,1,0
225114,225,"PSU 1",163.7185,-1.01,44.25,44.99,.c,"no college",1,1,2,2,2,2,0
158229,158,"PSU 2",204.9003,-1.58,32.21,27.37,.c,"no college",1,1,1,1,1,1,0
131231,131,"PSU 2",349.5852,-1.01,49.87,48.69,"At least 2, but less than 4 years","2-years",1,1,3,3,3,3,0
427101,427,"PSU 1",36.8509,-1.28,49.32,44.99,"Four or more years","4-years or more",1,1,3,3,2,2,1
129118,129,"PSU 1",370.3022,-1.15,47,52.88,.c,"no college",1,1,2,2,3,3,0
173216,173,"PSU 2",304.6879,-1.28,40.73,38.96,"At least 2, but less than 4 years","2-years",1,1,1,1,1,1,0
256310,256,"PSU 3",491.9041,-1.43,42.02,50.42,"At least 2, but less than 4 years","2-years",1,1,2,1,3,3,0
365232,365,"PSU 2",241.1129,-1.43,51.89,47.7,"At least 2, but less than 4 years","2-years",1,1,3,3,3,2,0
164132,164,"PSU 1",16.4981,-1.14,47.83,38.71,.c,"no college",1,1,3,2,1,1,0
368211,368,"PSU 2",217.7311,-1.13,29.19,34.15,"At least 2, but less than 4 years","2-years",1,1,1,1,1,1,0
178207,178,"PSU 2",86.2177,-1.16,35.05,32.05,.d,.d,1,1,1,1,1,1,.d
281116,281,"PSU 1",437.0309,-1.23,34.66,34.52,.c,"no college",1,1,1,1,1,1,0
171206,171,"PSU 2",492.6213,-1.05,39.67,46.1,"At least 2, but less than 4 years","2-years",1,1,1,1,2,2,0
284225,284,"PSU 2",479.651,-1.23,38.55,54.36,.c,"no college",1,1,1,1,4,4,0
136123,136,"PSU 1",86.8735,-1.35,45.64,53.25,.c,"no college",1,1,2,2,4,3,0
121231,121,"PSU 2",489.8242,-1.13,54.73,51.89,"Four or more years","4-years or more",1,1,4,4,3,3,1
233206,233,"PSU 2",135.7849,-1.6,31.95,49.68,.c,"no college",1,1,1,1,3,3,0
167119,167,"PSU 1",149.2586,-.97,51.3,45.61,"At least 2, but less than 4 years","2-years",1,1,3,3,2,2,0
153224,153,"PSU 2",163.0032,-1.5,45.56,46.72,.c,"no college",1,1,2,2,2,2,0
231120,231,"PSU 1",309.7103,-1.36,36.33,44.13,.c,"no college",1,1,1,1,2,2,0
